A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BY,BZ,CA,CB,CC,target
954a4c2e,chotu,11,1,500years,40,chotu,21.99863946,63,124.2,,90,80,126,,,,,500years,,,,,,,,,,,,,,,500years,2,4.70028,22.001,1307.6,1961.41,27.3642,81.54,14.4442,7.55687,42.66,3,32.1958,21.9801,76.8398,36.3156,59.5599,,,chotu,3.54,500years,4,5,3,2,4,2,0,0,2,1,2,0,2,1,3,2,2,2,2,1,500years,35,50,chotu,2,1
b39bab51,500years,6,0,,,500years,,,,,,,,,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d916073,500years,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4a681dc,chotu,9,0,17cm,45,17cm,21.93861454,54,91,,62,70,100,17cm,3,3,25,17cm,3,0,,,,,3,0,6,0,5,0,7.5,1,17cm,1,3.50316,21.941,1120.51,1456.66,14.5805,61.6121,14.8553,7.08572,29.3879,3,29.8445,17.1871,58.1089,25.6685,44.425,,,chotu,1.62,17cm,4,3,5,2,5,0,0,1,1,4,0,0,3,1,5,5,3,5,0,2,17cm,30,43,chotu,0,1
2715347c,rinki,15,0,500years,70,chotu,24.40514168,73,185,39,53,65,112,,,,,rinki,19,0,34.6,2,43.4,2,8,0,5,0,5,0,8,0,chotu,3,8.32921,24.4078,1946.47,3308.99,47.755,149.587,19.7357,4.67214,35.4127,3,63.0505,38.7818,141.258,75.5302,110.806,chotu,2.88,,,chotu,4,2,3,0,3,3,0,3,0,2,0,0,2,2,3,3,2,3,0,3,chotu,42,59,rinki,0,1
f2260009,chotu,9,0,500years,45,chotu,19.75162733,59.3,98.8,,62,107,118,chotu,,,,500years,,,,,,,,,,,,,,,500years,2,4.32027,19.7538,1218.78,1950.05,18.2867,72.0793,14.4113,5.34247,26.7207,2,33.8358,19.9568,67.759,32.7297,52.1225,,,,,chotu,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chotu,34,49,chotu,0,0
b4cfd8d7,rinki,10,0,500years,80,chotu,14.86543637,51,55,,72,66,107,chotu,4,6,1,chotu,14,1,,,,,20,1,10,1,11.5,1,6,1,chotu,4,3.58521,14.8671,1003.6,2107.56,11.276,49.1596,13.2883,1.57873,5.84044,2,26.0833,11.8002,45.5743,20.5258,37.3593,,,rinki,2.11,chotu,4,3,3,1,2,1,0,2,0,1,1,0,1,1,1,1,1,1,1,0,chotu,56,77,rinki,0,0
9c23dba9,chotu,15,1,500years,58,500years,21.04747583,66.5,132.4,,64,73,110,,,,,500years,10,0,21.6,2,22.7,2,0,0,11.5,1,12.5,1,12,1,500years,5,5.70773,21.0498,1449.79,3189.55,33.3625,96.6852,15.3716,5.67816,35.7148,2,38.2263,25.0964,90.9775,47.2674,71.5888,chotu,3.29,,,500years,2,3,2,3,3,2,0,1,1,2,4,1,1,0,3,3,2,3,3,2,500years,41,58,500years,,1
09f84bae,rinki,8,0,,,rinki,28.52147531,41,68.2,27,78,56,105,,,,,rinki,0,0,,,,,0,0,7,0,8,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,0,
10258585,17cm,6,0,chotu,75,rinki,15.43573105,49.5,53.8,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,4,3,4,0,5,0,0,0,0,1,2,0,3,4,0,4,3,4,0,0,rinki,32,46,17cm,0,1
43f5d3c5,500years,10,0,,,500years,17.42871581,58,83.4,,52,69,91,,,,,500years,12,1,,,,,6,1,5,0,7,0,12,1,500years,3,4.37741,17.4306,1202.04,2043.47,19.6333,70.2962,14.6919,2.73869,13.1038,2,33.6705,16.9924,65.9188,29.8965,53.3038,,,,,500years,3,2,2,1,2,1,0,1,1,2,3,1,1,1,4,2,2,3,2,2,500years,28,41,500years,2,1
4057472d,rinki,10,0,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
c805ebe7,500years,8,0,17cm,73,500years,15.28520469,50.75,56,,66,76,88,500years,7,13,5,500years,4,1,,,,,5,1,9,1,11.5,1,8,1,500years,3,3.36493,15.2869,1006.78,1711.53,11.0238,49.4984,13.5121,1.77481,6.5016,1,26.9971,11.4775,46.1335,23.5508,38.0209,,,,,500years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500years,31,45,500years,0,0
a3841682,500years,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e964060,500years,8,0,rinki,50,500years,17.10665873,53.25,69,,,92,,500years,3,4,10,500years,0,0,,,,,0,0,5,0,6,0,2,0,500years,2,3.34663,17.1085,1051.78,1682.86,11.6323,54.2919,13.4617,3.64687,14.7081,1,27.0474,15.6122,50.9453,23.2642,38.6797,,,,,rinki,2,0,4,1,3,1,0,3,3,3,2,0,3,2,5,5,4,4,5,1,rinki,39,55,500years,0,2
a5356446,rinki,17,0,500years,60,rinki,19.54053061,70,136.2,,82,84,108,,,,,rinki,20,0,36.8,2,36.7,2,20,1,11.5,1,11.5,1,9,1,,,,,,,,,,,,,,,,,,rinki,1.29,,,rinki,5,4,3,0,4,3,0,2,2,4,3,0,2,3,3,0,2,4,1,0,rinki,48,67,rinki,0,1
29b37b4a,rinki,13,0,chotu,78,rinki,16.58262339,65.5,101.2,,83,86,142,,,,,rinki,33,1,31.6,3,30.4,2,11,0,11,1,11,1,11,1,rinki,3,-2.8706,16.5844,1409.81,2396.67,24.9662,92.4261,15.1466,1.43786,8.77395,1,44.3184,23.1415,95.2967,56.9826,69.2845,,,rinki,2.96,rinki,4,4,4,2,5,4,2,3,3,4,4,0,0,4,4,2,1,0,1,2,rinki,50,69,rinki,3,2
bfb421f9,500years,14,0,500years,71,rinki,13.74061293,65.4,83.6,,135,58,174,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,1.49,,,500years,5,3,4,4,5,1,1,1,3,4,3,2,2,3,2,4,3,2,3,4,500years,26,38,500years,1,2
187b1802,chotu,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,1.66,,,,,,,,,,,,,,,,,,,,,,,,,chotu,0,
81095901,rinki,8,0,17cm,63,17cm,15.01601994,53,60,,70,70,117,17cm,6,9,34,17cm,15,1,,,,,3,0,5.5,0,6,0,12,1,17cm,3,3.08958,15.0177,1020.21,1734.36,7.56446,50.929,12.7472,2.27041,9.07098,1,25.0452,18.3193,47.8394,27.6392,32.6097,,,rinki,1.71,17cm,4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,17cm,39,55,17cm,0,0
0c3d248f,chotu,6,0,17cm,61,,,,,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,4,0,3,0,3,0,0,1,0,0,0,0,0,0,2,2,2,2,0,0,17cm,31,45,chotu,0,0
39d626f4,chotu,10,0,500years,64,500years,20.03259504,55,86.2,,66,84,113,500years,5,8,52,500years,23,1,,,,,7,1,10.5,1,10.5,1,9,1,500years,3,3.81283,20.0348,1144.24,1945.21,16.3357,64.1397,14.9075,5.12729,22.0603,2,31.8051,15.9989,60.3269,28.9635,48.1408,,,chotu,2.96,500years,3,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,500years,40,56,chotu,1,0
7a86fcd2,rinki,17,1,,,chotu,24.67395861,61,130.6,,68,73,113,,,,,chotu,15,0,27,2,27.9,2,10,1,15,1,16,1,12,1,chotu,1,4.16439,24.6767,1257.58,1634.85,23.1848,76.2117,14.4001,10.2766,54.3883,2,31.1746,21.8522,72.0473,43.5817,54.3594,rinki,1.91,,,chotu,5,4,4,1,4,3,3,3,4,4,3,1,2,2,3,1,2,2,1,4,chotu,35,50,rinki,1,2
4fe97569,500years,13,0,,,500years,17.46429831,63,98.6,26,69,101,117,,,,,500years,15,0,9.5,1,15,1,13,1,8.5,1,7.3,0,12,1,17cm,3,5.16553,17.4662,1311.22,2229.07,23.1627,81.9248,14.5123,2.95388,16.6752,1,37.4761,21.286,76.7593,36.3363,60.6388,,,500years,2.72,500years,3,2,2,0,3,0,3,2,0,2,3,0,2,2,3,0,2,0,0,1,500years,38,54,500years,1,0
c61b5eda,rinki,21,1,,,rinki,21.36733291,65.5,130.4,30,72,95,116,,,,,,,,,,,,,,,,,,,,rinki,2,5.24383,21.3697,1376.06,2064.09,31.4076,88.8317,14.5576,6.81211,41.5683,2,33.4983,23.9258,83.5879,34.9309,64.9059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,3,
f68f158d,500years,6,0,17cm,80,500years,16.33794252,49,55.8,,73,98,117,500years,,,,500years,5,1,,,,,10,1,5,0,5,0,10,1,,,,,,,,,,,,,,,,,,,,,,500years,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,500years,53,73,500years,3,0
3d36fe8b,rinki,11,1,chotu,80,rinki,25.65719957,62.2,141.2,,93,78,174,rinki,,,,chotu,,,,,,,,,,,,,,,500years,3,4.57322,25.66,1322.78,2116.44,28.3689,83.1562,15.1118,10.5482,58.0438,3,32.413,22.3742,78.5829,36.8575,60.7819,,,chotu,1.82,chotu,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,chotu,30,43,rinki,3,0
90d7cf39,rinki,15,1,,,,,,,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,3,
932b5928,17cm,10,0,chotu,41,chotu,19.267717,58,92.2,,79,99,133,chotu,4,5,56,chotu,8,0,22.9,3,21,2,7,1,12,1,12,1,8,0,chotu,3,8.45576,26.9986,1093.73,1859.34,14.86,58.7596,17.2064,9.79223,33.4404,2,31.2254,12.6743,50.3039,27.8422,46.0853,,,rinki,2.63,rinki,5,3,3,1,4,1,0,1,0,1,4,0,2,1,4,2,2,2,1,0,rinki,62,85,17cm,2,1
2bca454a,chotu,9,0,500years,68,500years,13.80467836,57,63.8,,81,87,131,500years,6,10,16,500years,5,0,,,,,20,1,6,0,7,0,9,1,500years,4,3.78855,13.8062,1080.97,2270.04,12.599,57.4006,12.4214,1.38482,6.39941,2,27.4634,17.3382,53.612,24.1424,40.0624,,,chotu,3.34,500years,3,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,500years,36,51,chotu,1,0
47240aa3,500years,7,0,rinki,55,500years,15.91217746,47,50,,70,78,114,500years,5,7,0,500years,0,0,,,,,0,0,7,0,8,1,7,1,17cm,1,9.33958,15.9139,933.315,1213.31,6.78643,41.6733,13.2637,2.65022,8.32673,1,21.7549,13.1319,32.3337,15.3553,28.5414,,,,,500years,2,2,3,0,2,0,0,2,0,0,0,0,2,0,2,2,1,1,1,0,500years,31,45,500years,1,0
58de61f0,17cm,12,1,chotu,75,rinki,17.40336914,64,101.4,,60,72,116,,,,,rinki,24,1,26.4,3,20.6,2,0,0,7.5,0,9.5,1,12,1,,,,,,,,,,,,,,,,,,,,rinki,3.97,rinki,4,4,4,0,3,1,0,3,3,2,3,0,3,1,2,2,3,3,0,1,rinki,41,58,17cm,1,1
605d6e05,rinki,10,1,500years,55,chotu,15.0436214,54,62.4,,73,70,106,chotu,3,3,48,chotu,5,0,14.6,2,11.6,1,8,1,18,1,17,1,10,1,chotu,2,3.11632,15.0453,1048.63,1572.94,15.4417,53.9554,13.0092,2.03607,8.44457,1,23.691,14.8227,50.8391,21.6074,39.1327,,,rinki,1.6,chotu,5,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,chotu,37,53,rinki,1,0
1a752b1a,chotu,15,1,17cm,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,,
f09b02cd,rinki,8,0,,,rinki,15.58540862,51.5,58.8,,73,76,114,rinki,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,3.49,rinki,4,3,2,0,2,0,0,2,3,2,3,0,2,2,1,1,1,1,1,0,rinki,45,63,,,0
15d702f8,17cm,9,0,rinki,80,17cm,17.00303254,52,65.4,,63,75,108,17cm,6,10,10,17cm,3,0,,,,,10,1,8,1,11,1,6,1,,,,,,,,,,,,,,,,,,,,17cm,2.28,17cm,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,17cm,42,59,17cm,0,0
5e2c1349,500years,13,0,17cm,70,500years,18.33017578,64,106.8,,75,81,133,,,,,500years,8,0,12.2,1,14.3,1,1,0,6.5,0,7.5,1,12,1,17cm,2,5.89119,18.3322,1293.01,2068.82,21.4275,79.9856,13.7295,4.60268,26.8144,2,35.0294,23.5288,74.0944,31.6963,56.4569,,,500years,2.46,17cm,4,3,3,2,5,1,1,0,1,3,0,0,2,1,1,3,3,2,3,2,500years,51,71,500years,1,1
e21255e2,17cm,11,0,500years,50,rinki,18.09497041,52,69.6,,71,91,107,,,,,rinki,10,0,16.3,2,15.9,2,10,1,9,1,10,1,9,1,rinki,3,3.14967,18.0969,1035.77,1760.8,10.4086,52.5858,13.673,4.42393,17.0142,1,26.4491,15.7281,49.4361,23.6096,36.8576,,,,,chotu,2,2,4,0,3,1,1,1,4,1,1,0,2,4,2,3,2,1,2,0,rinki,48,67,17cm,2,1
9e052412,chotu,6,1,17cm,71,chotu,14.34049412,43.5,38.6,22,59,94,101,,,,,chotu,5,1,,,,,0,0,6.5,0,7.5,0,5,0,500years,1,1.92368,14.3421,893.944,1162.13,8.15798,37.4798,13.9258,0.416229,1.12023,1,18.7449,10.5769,35.5561,14.501,26.9029,,,,,500years,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,500years,50,69,chotu,0,0
1949438b,rinki,11,0,17cm,61,,,,,,,,,,,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,4.6,17cm,5,5,5,4,4,4,1,2,1,1,5,1,4,5,4,5,1,5,1,2,chotu,28,41,rinki,0,2
668db95f,rinki,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,,
1582a4cb,500years,11,1,,,chotu,,,,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,2,
d1aa6625,17cm,7,1,chotu,70,17cm,14.85846914,45,42.8,,71,76,104,17cm,7,11,51,17cm,4,1,,,,,5,1,9,1,10.5,1,7,1,rinki,5,12.0067,14.5353,921.779,2027.91,8.53609,40.4446,13.7354,0.799913,2.35539,2,19.7547,12.1538,28.438,18.5958,28.2908,,,,,17cm,2,2,2,1,2,0,0,1,1,1,2,1,2,0,1,1,1,2,1,1,17cm,60,82,17cm,0,0
f0f199ad,chotu,17,1,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,,
d9c82502,500years,9,0,17cm,77,17cm,18.22176,50,64.8,,74,100,109,17cm,6,9,34,17cm,5,0,,,,,0,0,7,0,7,0,6,1,,,,,,,,,,,,,,,,,,,,500years,2.78,17cm,5,4,5,1,5,1,0,5,1,4,4,0,3,1,4,4,5,4,4,3,500years,34,49,500years,0,2
2a64085d,17cm,6,0,rinki,75,17cm,15.10820491,49,51.6,,74,107,112,17cm,5,8,54,17cm,2,1,,,,,1,0,9,1,9,1,6,1,,,,,,,,,,,,,,,,,,,,,,17cm,2,2,2,0,3,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,17cm,43,60,17cm,0,0
6c4902c8,500years,8,0,17cm,77,500years,16.98448,50,60.4,,49,79,101,500years,10,16,13,500years,11,1,,,,,32,1,11,1,10.5,1,10,1,500years,4,4.75123,16.9863,1005.65,2111.85,10.8124,49.3774,13.8864,3.09989,11.0226,2,26.9122,11.6528,44.6262,23.3947,37.7246,,,,,500years,2,2,2,1,2,1,0,1,1,1,1,1,2,1,1,2,1,2,1,1,500years,65,89,500years,2,0
26b893f4,17cm,10,0,chotu,50,rinki,18.55034209,60.63,97,,72,99,111,rinki,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,2.71,17cm,4,4,4,1,4,2,0,2,3,3,3,1,3,2,3,3,3,3,3,3,17cm,32,46,17cm,0,2
58f11465,17cm,6,0,rinki,76,17cm,14.46276042,48,47.4,,54,82,101,17cm,,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,0,0,2,0,2,0,0,1,0,2,2,0,2,0,1,2,2,3,0,0,17cm,30,43,17cm,2,0
2805045a,rinki,17,0,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,3,
acd409fc,rinki,8,0,,,rinki,17.08680556,48,56,24,70,99,92,,,,,rinki,5,0,,,,,0,0,7,0,5,0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,1,
